element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Cr,-2.1900854,-1.6390277,1.0085368,0.0753908,0.1714669,0.5603626,4.0713,3.7840564,-1.9489075,-1.943999,-2.1119037,-3.9243224,-4.0710073,0.61189437,0.36281326,-2.5370774,-1.9182156,-3.7093816,-2.2169185,-1.4270536,3.9864585,0.83133245,-2.6166828,4.213968,2.868575,2.2799628,2.5797606,-0.07052991,-0.10831004,-4.4278154,2.0775042,4.1591387,-2.712696,-0.12377204,0.9307651,1.1462878,1.0678247,-0.5007448,-0.42645663,-2.6677237,-1.6500522,3.075065,0.6781826,-0.27970162,1.5457957,1.7426809,-1.3334813,-1.3112531,-2.1642241,3.637938,1.6649883,2.3452015,-1.7814479,2.5248296,-1.1974214,-2.3601487,2.8812346,-0.3040551,0.31349772,-1.7172272,-3.043023,0.6893726,0.27346244,-0.35236314,2.6036491,-2.5027587,-1.2676024,4.509804,1.98906,5.5440283,1.6593754,-2.1005735,1.1425258,-4.3712044,-0.25943294,1.7855409,1.6987491,-0.32247058,-1.9868528,1.8149817,-0.7751511,-0.32088125,-4.1045575,0.55051947,-4.053207,1.4075675,-1.4199909,2.9641044,3.8006682,0.28120744,1.0332149,-0.89156073,-0.34800088,-1.8957515,2.871507,-2.7061646,-0.5207152,-0.11833555,-5.9063396,0.28843436,-5.475522,-5.1332083,-0.16722818,1.7341981,0.14919595,0.5119851,-4.061689,-2.4575474,-0.47578877,-1.8884293,-0.35756952,2.501893,0.3672546,-4.9641194,-3.9008536,1.6594367,3.5698843,-3.654533,-0.21367615,5.664555,-4.320951,-2.9507987,-3.1908796,-0.016527012,-1.8780742,-2.4794054,1.6885836,6.955719,-1.204329,1.3904164,-2.6857705,0.7554043,2.4991143,-2.1166644,0.5774673,2.8469641,4.9138184,-0.7319108,0.70854974,-0.7336583,2.5501335,1.2506465,-1.8610928,-2.1525474,2.3941593,2.488819,-2.174654,-1.0700067,-3.8678732,-0.43631652,1.0015867,-2.1317074,-1.4178632,-2.2496586,-1.8943663,-2.233468,-2.2628317,3.3223605,-2.491707,2.5268362,4.679777,2.1344545,3.879017,3.9166093,0.39211875,0.59395254,-1.457762,-1.323413,-3.798713,-3.3859215,1.5048412,-0.16660288,0.9972418,3.0239289,-6.393058,-2.2831297,2.5461977,-1.3085996,-2.467582,-1.8607165,2.619418,4.3081336,-1.4420408,0.5498462,-1.0101999,-1.0877701,0.3269665,3.0433006,-0.2815732,-2.3562524,-2.0988703,-4.2392154,2.1104436,-0.30073458,2.5654964,2.1627076,-1.8911499,-4.2063007,-0.049732618,6.3509865
Mn,-3.2263463,2.1417396,5.2048926,2.9364636,1.6078413,-0.984475,2.5699518,5.581349,-1.5951355,0.16369909,0.64454114,-5.824909,-1.1168969,0.7067697,-1.1700655,-5.418043,-3.3092062,-4.9229116,-3.1838596,0.61497587,3.6418128,-0.14806785,3.2082162,7.034585,2.2034473,-1.5203233,0.16570716,1.7579044,-0.42688978,-5.941067,1.9107668,4.1977515,2.7979321,-5.834178,1.8914647,2.66973,0.20319422,2.1907213,-1.7884595,1.5655639,-3.9131064,1.663897,4.400981,2.7101645,-5.4735303,6.1451144,-2.9894173,-0.5001085,-3.0395074,3.70073,-0.59281725,2.1121583,-3.347309,4.336804,-1.0109051,3.795612,2.7183228,0.8213929,-1.1722592,3.9640114,2.3398302,0.33880675,4.8447385,2.4880009,3.544364,-5.079543,-1.6399497,5.239457,-1.8244919,-0.16069628,2.26208,-0.25512052,-3.220048,1.1858027,-1.7984247,-6.656356,0.8091908,0.9909398,-1.9665375,7.0324225,-4.05973,0.005934049,-6.5728383,-0.12910041,-2.9273062,2.3790772,-1.7176352,2.8638244,6.2125854,-0.5193691,3.6091523,0.56354654,-0.8512624,-5.5461836,-0.6899553,-5.051357,-5.458537,2.7137475,-1.2807655,-2.25519,-6.246378,-6.704344,-1.5279998,4.0137296,-0.017555812,4.221633,-1.9603887,-4.427492,-2.9877963,0.5554738,0.78568363,0.11785155,-0.7156362,1.9121784,-2.816816,1.2299528,3.0465345,-3.214116,-0.92927194,0.83825654,-3.305504,-5.0988617,2.249241,5.562195,-2.7895522,-0.67162234,4.7519546,2.3436136,-2.3587217,-2.2171865,-2.4740741,-2.9247942,-0.24120048,-4.056729,-0.42137,1.5066838,5.8527384,-0.0016954,1.7953582,0.4743018,-0.1531388,0.648169,-4.7229524,-0.22548069,-0.8123283,-0.562239,1.0449935,-3.028961,-2.2306893,-1.1738231,-0.0996462,-1.2847102,2.7007968,1.4705617,2.6771204,-3.1678073,-1.5114458,-0.98796636,-1.4531664,0.56105757,4.89279,0.3592215,3.7521632,1.6741389,-1.2391028,0.14155486,-4.092038,-2.1511328,-5.4289384,-0.9522223,1.3996685,0.7211464,-2.316749,4.2873254,-4.6349096,-1.0182796,1.5296646,-0.5487223,0.6259307,1.4994968,2.9019392,2.7131298,-1.8650464,0.24308309,-0.15561889,-2.279833,-3.099645,2.1064568,3.6821449,-0.08473364,-1.8356899,-2.7609816,5.253098,3.3267634,1.284079,3.3127646,2.0604708,-1.3128386,-3.908678,4.6660137
Fe,1.0423336,1.8189037,-2.7748575,-0.72469574,2.0349386,-0.050748754,4.3084216,1.849192,-3.570547,-0.5523187,-2.3175957,-4.7171793,-1.3291517,0.27803454,2.2214046,-1.2055603,0.3166252,-2.990749,-1.7140218,-2.9564066,3.5444198,0.046154466,-4.390447,-2.225348,4.4272885,-1.6686885,3.1470432,1.8660268,0.32573104,0.9863967,3.455846,2.0137353,0.30003798,2.344611,0.82402766,1.7601871,4.395286,2.309079,-2.128314,4.7241597,-3.9678445,-2.3536658,1.6891296,1.4900664,0.9670515,3.118633,1.1659904,-5.4888716,-4.4348874,-0.35007754,-5.5263515,0.19023037,-3.1940346,-2.0352175,-6.687793,-1.3939638,4.0624723,4.7706194,-1.7712362,2.417083,1.7759188,-0.13619399,2.6221359,-1.1688877,-1.8855828,-4.059164,-5.0613847,1.9597998,0.6019597,6.2173376,0.61136115,-8.346643,0.99878865,-1.3082497,0.40939832,1.030913,-0.94876325,1.1471906,-1.2847588,5.998336,2.6449263,0.6581603,-3.3410256,0.9355548,-3.2634923,-0.7642977,2.5824428,-1.3334029,8.022676,-4.2147903,1.790348,-2.8356874,-3.088394,-3.0584018,1.1302077,-4.061396,-3.5370502,1.4308414,-2.4937365,-4.834504,-1.9231362,-2.2903833,3.2936044,2.8875682,0.04883588,-0.90247357,-3.5449922,-3.6436293,-2.7145982,-0.20294923,-5.048284,1.6940322,-7.973738,-2.2175963,-3.3225162,5.062405,2.1981003,-3.104718,-4.550947,-0.9366085,-0.18462527,-3.31162,2.135615,-6.095559,-2.152533,-5.675392,1.420032,9.099551,-5.199306,-2.377674,-1.2656252,-1.2759912,-1.194792,-3.0906253,1.5472146,0.20151299,4.0078073,-7.221285,2.646276,-4.2430754,-1.560433,5.3291063,-2.007232,-4.373772,2.1370738,1.7250588,-4.311513,2.270302,-0.6314572,0.13112406,0.42323324,-0.4435648,1.2405791,-5.472094,-0.9857031,-0.8964641,-3.4475133,-1.1544907,2.0558515,5.9227414,4.869986,-3.0209587,3.0199697,1.2065374,0.50511026,0.2854303,2.0612936,2.1773891,-0.30216756,-0.43889588,1.5335099,-7.019048,0.7635218,2.161654,-3.0378468,-6.0421677,5.7455726,-4.9179096,-3.0670314,0.9689061,2.3513951,4.1703787,-2.0586383,-0.3153074,-0.8284809,-1.1401085,-1.2484293,3.0046108,-2.3103065,-0.2083229,0.7288097,-2.5486505,-3.0199444,4.199792,0.14186686,-1.0388345,2.2896821,-7.146398,0.7764108,4.739684
Co,-3.8485656,-0.7805339,-1.733955,4.233698,1.0725567,1.3376666,1.6132882,1.6391469,-2.477892,0.7373091,-0.498268,-4.705483,-2.9966037,2.0372245,2.516253,0.09461547,-0.8091219,-4.0195484,-3.3088608,-2.6584687,2.3844402,2.127719,-3.5455065,2.5366223,1.0409455,-1.6507422,3.1004934,-1.4187912,-0.8646944,-4.1244664,4.0883493,0.2834907,1.1805477,-2.9614775,1.3211607,1.3430823,2.1495485,-0.5374811,-3.1656213,-2.0660868,-3.9255035,0.828288,2.1416008,-1.5657103,3.7490804,1.114442,0.90453565,-0.6663556,0.81785566,6.0760756,-1.5564029,-2.4026248,-0.22685562,1.2982846,1.29931,-6.0520253,0.14430661,-0.3077291,-5.1175265,-1.625218,-1.9728553,0.5251925,2.0269508,-1.0144844,2.416754,-2.3021529,-1.7506368,4.352933,0.78594595,2.0694919,1.00863,-4.3712196,-3.7644548,-1.3631936,3.5835915,1.5052971,3.2675788,-1.0528508,-2.2631714,3.410758,3.5030475,-1.1526607,-7.9387302,2.8475904,1.329339,0.048132222,0.8474504,-1.5856851,7.185918,-2.4186106,-0.16454518,0.001594791,-1.1082047,-1.448723,3.231858,-4.5815463,-2.8925543,1.7387276,-0.86396074,-3.2903357,-1.6362662,-6.596872,-5.3078666,2.1978276,-2.8526402,-0.5114009,-1.7329767,-1.2971576,-3.8471584,2.0689504,-3.5164068,1.837416,-6.4855247,-4.041084,-1.6640232,2.584982,1.9814873,0.83945996,-3.3271952,1.317448,-2.4832911,-2.5071344,4.1701035,-8.552709,1.3960351,-2.9493275,4.1853623,4.154187,0.2703147,0.55876046,-2.490142,1.3107263,-5.1629815,-0.34211156,-1.0076481,0.22136249,2.5362,-0.7206182,1.7312384,3.3364892,1.3061111,3.7646828,-5.6925216,-4.3562045,0.2323483,-1.1705997,-2.3345344,-1.6751298,-2.9973896,-2.2771554,2.5320938,2.5222957,-3.3521078,-0.039895475,-2.2146053,-1.8206474,-1.3953211,-1.8328285,0.9102875,1.7686663,5.80706,-1.1079507,3.6246727,4.405436,-4.673421,-1.0522374,-0.6691425,-0.14839596,-8.869868,-4.1276174,3.5570424,-0.74908346,-3.471538,1.057805,-4.1369658,-3.0114555,2.5364382,0.07739115,-4.9172635,3.772376,1.9874492,-0.76586956,0.82258165,-3.158855,4.263484,-4.712465,-2.5180955,5.7975173,0.3999185,-0.48955926,-3.6910334,-0.65185046,2.5045671,2.3551197,3.4381623,3.7771988,0.40687433,-3.6534479,1.573374,3.2644215
Ni,-1.1610867,2.919705,-1.4590595,1.5811121,-5.0249476,2.2749803,2.1765852,0.884451,-3.3231478,-0.009127984,-0.2462189,-3.836247,-0.22682728,0.24327809,-1.9276085,0.57439965,-0.5062039,-3.3244002,-5.352214,0.631956,-2.3737848,-0.19519092,-1.1247405,2.577169,2.6719384,0.93362457,2.212095,-0.079654455,-3.3116724,-0.66655725,1.3628367,-1.1126121,4.0120487,-0.3700305,1.3756658,2.8137844,0.37729976,1.3335826,-1.944253,0.17590778,-5.2734733,0.04275367,4.56084,-0.47484344,1.1983418,1.863478,3.8838446,-4.305694,0.5718369,2.9609544,-1.1142257,2.1826248,4.74456,7.199649,0.73534536,0.029068362,-1.2313374,-1.4638022,-1.5980465,1.2476671,0.23888019,2.2227247,4.3680897,0.8310628,1.4727924,-2.6428597,-3.0702484,1.1104622,2.8477516,4.5714965,3.0540044,-3.6683483,-3.6197,-4.2457695,-0.3181424,1.0957066,0.4549513,-0.33485967,-4.349818,4.3877993,1.2392286,-2.3113832,-8.648966,-2.0864801,-2.9931312,0.44016105,-1.5282844,1.2695115,6.0482874,-0.48907673,2.3352225,1.7588305,-3.9459105,0.055173613,6.6909785,-1.8231605,-5.992353,1.8769958,0.35042506,-0.7377561,-7.1501675,-3.2429605,-1.5803643,3.2739491,3.65633,-0.94010097,-4.469347,-7.312169,0.50947165,-1.3130924,-2.1398873,5.583471,-2.0175724,-5.444496,-3.991237,3.909327,4.6118855,-2.1097214,1.8498158,3.6718335,0.35220784,-0.88306564,-1.6541946,-3.7256982,3.121837,-0.002674086,3.230578,9.917244,0.12661357,-3.2574165,-1.7720203,-1.1309376,-2.9806764,-4.6793118,-1.2518095,-0.23166865,4.129925,-0.023611568,7.5392017,-0.43546224,3.4827507,0.7095239,-0.585785,-4.328446,0.8308422,5.099195,-3.4405036,-2.119542,-3.1971397,-2.0290174,4.0272794,2.3719296,-2.8338473,0.009056945,1.4157597,-2.82766,2.4864564,-4.643637,-0.7461492,2.996775,5.565278,3.797333,1.6604519,6.273715,-0.6882624,2.1400476,-1.4435227,-0.5640721,-2.8049905,-1.613159,1.5649753,-1.5586151,0.81444263,0.52243954,-1.6581614,-1.6386155,4.6723723,-1.2874756,-3.741229,0.9683274,6.3980575,1.8294986,-2.3891444,-0.009339334,0.26351935,-1.7858142,-0.13376422,3.8420935,0.98048365,1.1045103,-0.5447142,-3.5536683,2.671465,0.29105625,-1.8990362,1.7368702,-0.2953666,-6.37603,1.2706119,6.1026607
Cu,-0.39263442,1.0938145,-0.96234924,3.1813524,0.0716076,-2.5906298,2.879891,0.95850265,-2.533809,1.8200005,-2.6842842,-4.9066777,0.005539128,-1.681101,1.3608444,-1.9083927,2.062692,-1.2089472,-4.889617,-2.030423,6.733482,2.5689485,-0.13310765,3.8460069,4.0409184,-1.8742893,4.7295594,-4.138761,1.1442305,-0.99884087,3.1577272,1.6311456,2.0990634,-3.9138613,-2.3797488,3.020527,-1.500337,1.885452,-2.199042,1.1145427,-2.6183953,0.40445295,2.2333114,-1.9212402,-1.860177,-0.13733904,-3.6857853,-3.6580288,1.1914016,1.2788339,3.315244,4.0040026,3.526247,3.9981108,-2.206218,-4.3605103,-1.6684417,1.5722245,-0.57613647,-1.3318316,-3.378084,-0.68559974,1.0264893,3.1153884,2.1259167,-0.9548446,-2.7499783,2.3881435,4.5383496,-2.5329278,2.548223,-4.0874553,-2.5521038,-0.02705897,2.803902,-4.456785,-1.4046247,-1.7145406,-1.9240584,2.1858754,-0.76287305,-1.3347472,-4.278581,-2.8254685,-2.8781388,1.1541198,0.7829325,-1.030899,7.208099,-0.92773455,-0.18541478,2.3574152,-2.4710243,-1.3835077,0.8503621,-3.8324523,-6.58561,-0.97802395,0.66296583,1.2254618,-3.5010507,-3.7391918,-2.7606685,0.43057087,-0.5043482,0.06851546,-2.275652,-2.712143,-0.79039943,-2.9302957,1.2508676,1.1921434,-2.9727006,-6.540581,-2.31477,0.5419416,3.367123,1.357094,-0.503298,3.278797,-0.14820619,-2.1938696,-1.062705,-3.1102095,-5.072018,-4.287089,1.8143042,8.425026,-1.9145766,0.95087516,1.7312711,-2.7507846,1.4407592,-1.6097156,1.3175853,4.313125,4.9212055,-1.5715244,3.6527638,-1.2199901,4.8660917,2.9487576,-1.4341066,-1.717541,1.3628894,2.199464,0.9729457,-2.2061057,-3.304972,-1.9262571,1.1367222,0.9941282,-0.8034355,-2.4309552,-3.50817,0.31092378,1.6469975,-1.5544658,-1.3736706,5.0309134,2.6574943,0.9213889,4.0035353,5.716447,-1.6045902,-0.11651909,-2.0813117,-0.79167753,-2.0551577,-1.313439,5.29E-07,0.61542225,2.0988393,2.977274,-1.4820538,-1.3366407,2.470137,-1.5951475,-3.124388,-0.03209935,3.613342,3.8386242,-1.7000942,-1.610186,0.06442534,-4.3357124,-1.4450977,1.4920251,-1.5189908,-5.148033,-4.77349,-2.783227,0.57916915,1.8961191,3.8142703,4.509743,2.2762392,-2.677181,-2.523914,6.6958733
Zn,-5.01847,0.6284027,0.5987792,2.1009972,-0.85438836,1.435403,4.4438133,-1.072491,-3.3001633,-0.018181197,0.11297378,-9.370412,-1.9731435,-1.1949053,1.140482,1.5451207,-0.342291,-2.4392726,-3.259851,-2.4520345,3.2219288,-1.3342124,0.11362151,0.25239623,1.8881137,0.90403014,1.9821762,1.7860857,-0.03950264,-4.895842,1.683051,-0.7047765,2.625797,-2.8169684,-1.1414638,3.9061062,-0.5766618,3.7387085,0.37102693,-1.370417,-2.0098026,-1.379656,4.1424804,-0.32803917,0.12070497,1.8168876,-1.004582,-5.741485,1.73919,1.3833389,-1.3337332,4.907777,0.87368166,1.9739051,-2.5107837,-2.6548243,-0.36741638,1.1731592,-0.16346763,0.11847571,-3.4176486,3.017626,0.9775662,2.9488819,1.3103929,-1.670873,-3.0589178,2.8470643,-0.8948859,3.9622881,4.5177283,-3.5628016,-3.0932143,-1.1940222,3.3571775,-4.413753,0.9277234,-3.782789,-1.7222779,0.91912,4.2420077,-4.224509,-2.8565862,-3.0682995,-2.5906942,0.9382016,0.6413514,-0.93250304,3.4593565,-1.9045144,-0.48304346,0.5964884,0.9527666,-3.923793,3.1590378,-2.0517983,-2.6167767,2.0302477,0.86538905,-1.6249523,-2.9023275,-3.1891193,-0.038450982,-0.6256569,-0.30207816,0.22606784,-2.2328904,-2.2990112,1.9681405,-2.8418722,-2.8530169,1.459367,-2.8459437,-2.9099612,-0.3380377,-0.30761042,2.0760715,-1.2567195,-0.2956396,5.051547,-1.3907802,-0.7858404,-0.6390154,-3.9542487,1.133325,-1.6030431,0.67733485,7.144688,-1.0129844,-0.21757668,-0.9069229,-0.16919881,-0.710716,-5.139801,-1.2010067,2.8643386,1.3342957,-0.565567,2.123297,1.3492348,1.3291918,1.1754179,-2.4286616,-1.0050159,0.041644007,0.94510776,-0.5541722,-2.4517312,-5.9283442,0.11616493,2.820543,1.9376243,-1.6897756,-3.3714192,-1.7203097,0.83564883,-1.1640667,-0.40541562,-2.5527878,3.4585521,5.096469,0.37873206,4.0424647,2.3900003,-2.4567723,1.1447005,-0.5583291,0.6245651,-2.1801949,-0.6167517,1.3033848,-0.20563973,1.310482,4.4072094,-3.815075,-3.2098765,5.4190397,-1.967895,-4.765022,3.9747226,4.280065,1.8605865,-0.046568945,-1.3608435,1.3322235,-3.4577801,1.0987177,2.857527,-0.8256053,-0.81161886,1.7740903,-5.1712093,1.5200092,2.5592487,1.2184727,4.0362372,1.7259091,-5.319261,0.17640457,7.9195294
Ga,-2.3812895,0.5940984,-0.51348495,2.3209903,-0.7085094,-0.3958982,2.2153194,2.436283,-2.283048,2.1353102,-0.20661245,-3.7927034,-0.3991175,1.4595389,0.21166262,0.6572666,2.1086192,-3.2553754,-4.7795553,-3.7710292,-0.44962797,-1.1729643,-0.34307298,5.4043164,2.8244708,0.07752225,4.2191014,-0.27550447,-0.5720947,-1.2570705,3.01701,1.2672428,2.0715845,-1.7263626,-1.5890954,1.3352784,1.767634,1.359558,-0.5643968,-2.2279599,-0.5806981,2.1021252,2.917747,-1.8691933,-0.34155744,-0.26108706,-0.12953208,-3.8192708,1.4808755,-0.88333577,-1.4850655,0.82384014,-0.6164541,3.754351,-1.1572018,-2.8379104,1.8508736,0.50348336,1.0835407,0.6920616,-2.0639217,-0.7578168,3.2488854,-0.60910296,2.4721394,-0.7661316,-3.4905717,1.165921,-1.258008,3.8804324,3.4691312,-5.820052,-3.4724064,-0.7424456,-0.103767894,-0.80144054,-0.5388168,-1.9999462,-0.73781806,3.7526479,-1.2959237,-2.1239543,-4.126517,-0.60702866,-1.7386916,-2.4129188,-0.9831635,-1.4083108,7.576843,-3.8132844,3.432132,0.7984316,0.34609762,-2.26619,1.4665617,-3.6780531,-7.8261347,-0.03997584,0.063221365,0.055696595,-2.3186576,-2.7274065,-4.9340296,1.7174519,1.7701142,-1.2349962,-2.079669,-2.7288418,-0.8898833,-2.2847586,-2.6060724,-1.4910135,-5.4274487,-2.2691243,-3.2795594,0.5205979,1.4097517,0.043115366,-1.5168117,2.361047,-1.0202949,-2.004167,0.5818612,-4.8551188,0.49652267,1.2690837,-1.0306773,6.4071937,-1.6869268,0.04536993,-2.2438102,-1.6344932,-0.014418563,0.17727591,-3.0531619,1.2743047,5.136319,-2.6855814,3.570431,-0.9147989,0.23224479,4.139516,-2.1256886,-4.0991325,0.22486912,1.0764698,-2.9884484,-5.1013155,-4.1748166,0.86424136,1.8788265,2.3129854,-1.3500062,-2.0887258,-2.4344118,-1.5210413,0.6806997,-1.7799208,-2.2470849,3.6725938,4.9320683,1.8866132,2.9411147,0.10725686,-3.1006682,2.1572325,-0.8980272,-0.6359901,-3.6331983,0.11125963,0.05293896,-1.5617155,1.4087026,4.675468,-2.432746,-1.5966169,1.4878162,1.0806959,-1.6035817,1.5466712,4.288449,0.92505693,-2.657917,1.4208193,2.260839,-3.415408,-0.88366824,3.1264434,0.14672148,-2.3838387,1.3334267,-3.7529972,-1.3041162,0.3740223,0.83809626,2.9540129,0.70710075,-3.5020237,-0.86153895,5.1360497
Ge,-4.4141626,1.1752796,1.6146785,1.0888708,-2.1274786,-0.41133067,5.290454,-1.4653738,-2.4120836,2.32195,-0.24847321,-3.3250995,-0.76957816,2.7693925,0.972501,1.5823934,0.123833664,-1.7926798,-6.413179,-4.4219136,4.572073,-1.6610831,0.9803042,-1.5983572,1.764792,0.047029115,2.2660515,0.7623539,-2.1029015,-2.7994788,1.5507225,-0.15726161,5.027852,-3.959084,1.349344,1.2088386,3.138627,-0.502192,-3.3272958,-3.162882,0.32194602,0.6435392,4.610154,-3.2691643,0.047245607,2.980219,-1.2947823,-2.6906066,2.0645258,-0.062395044,1.40393,-0.12504755,-2.4227757,-0.82669914,1.6220827,-4.5733576,1.9830048,0.8848295,0.09688522,-0.07528719,-1.3384053,0.3240215,5.305558,0.717239,4.0581264,-0.8298108,-1.3574562,2.91686,-1.9170719,2.140485,0.7667273,-1.3405322,-5.5870566,-1.9399557,-1.457406,-2.3371284,0.86036295,-1.9128653,-4.9266763,0.35432765,1.5008099,1.3077713,-3.3752768,-1.0355712,-2.1188009,1.8025815,0.620203,-0.30199105,5.248839,-1.4470721,5.151903,-0.44310707,-1.3382425,-1.9215208,0.79549974,-2.0664022,-5.615458,-2.5619862,0.038506985,-0.8922362,-2.8464923,-3.5533564,-5.691317,0.93187374,3.634179,-1.0631354,-2.6847978,-2.4886768,1.4162304,0.4895432,-1.7950683,0.021129865,-1.7252071,-1.4244249,-2.6090374,1.5488344,-0.023793463,-1.3206036,1.3469602,4.095871,-3.1460657,-2.8627043,-3.1381834,-3.2800753,-2.8385835,-0.5235094,0.3883576,6.3672423,-4.318444,-2.6695397,-1.5486147,0.44339988,1.563812,-1.4041134,-1.4911646,0.41842985,5.0346637,-1.7476021,2.7351787,-0.65472233,1.3475883,4.291029,-3.8241658,0.72931653,-2.847719,1.1035182,-1.6198803,-2.11101,-1.3344523,1.3009439,2.3565292,1.392219,1.5991651,-4.6575007,-1.8625444,-1.0306157,1.0175918,-1.4745829,-2.2768247,3.686569,3.1835063,3.376638,4.9548016,-0.63905936,-1.464682,0.96749794,-2.3990288,-1.6756072,-7.0246058,-0.06244797,0.4838319,-3.6969423,0.97111905,4.987001,0.47751778,-2.0991116,3.2039669,-1.2953537,-2.4277594,0.97857016,1.0657545,0.3849508,-4.189601,2.8116493,1.7260464,-1.879344,-1.6680743,1.6173501,-1.0032985,-0.97667485,-0.841096,-4.98962,-0.08285375,-0.026971847,-1.5534712,5.534011,2.0487602,-5.808549,-1.6362823,3.415595
As,-3.9609785,1.1649805,0.27779883,2.5676687,-2.5348067,-1.7170873,4.6068172,-0.8732537,-1.117367,1.3332196,-0.6633263,-4.8184533,-0.08961377,3.7055879,-1.8396271,1.8869288,-0.58379954,-4.5077133,-7.984052,-1.5149356,0.79523736,-0.654404,1.3811836,-2.908955,1.9614878,-1.5541961,2.5686724,2.2242818,-2.592868,-3.6841214,1.9217823,1.6272368,1.6497111,-3.0098708,1.8527781,2.730504,0.3085975,-0.89972264,-3.267502,-3.8000062,-1.7839721,3.3186831,2.9497592,-3.1999135,2.327291,0.47345477,-5.1366973,-3.0738597,0.934422,3.4700637,0.84336823,3.3101192,-2.0295362,0.94378906,0.63465124,-1.3849946,2.0763593,1.1339456,1.7467234,-1.7465835,-1.7552266,0.32693195,1.7371031,-0.31011766,1.0601007,-3.3542607,-2.516162,2.5419962,-2.0234973,2.782053,-0.7956954,-4.640805,-3.1438508,-2.8063517,0.106861494,-1.0151846,-0.89407825,2.089691,-1.4640363,4.2638793,-0.91739017,-2.889113,-3.417093,-1.4242549,-3.0110111,2.13158,-0.020349894,-1.6354951,5.0054426,-0.7918895,2.4543185,0.37299752,-1.5111506,-1.1338927,-0.81113654,-3.4963157,-6.0550756,-1.4408234,-0.14557034,-2.5834553,-2.1252205,-1.5324615,-0.20157215,-1.1742914,2.3925452,-0.63532597,-1.5516769,-3.1962175,-2.5883896,-2.1492307,-0.49344426,1.4206394,-4.0202584,-1.8513795,-1.8189651,-0.37917924,1.4599817,1.6262289,-1.1252879,3.6378067,-2.3277571,-0.8793385,-3.1478539,-1.0676788,-0.45142242,-1.875395,3.1828825,4.494976,-2.7389798,-1.6495631,-0.6020036,0.6412872,-1.561947,-1.4694893,-0.83293444,1.8757831,4.662747,2.2705145,4.7159305,-1.2695765,0.6628707,1.9827886,-1.3977036,1.4558356,2.1470857,-1.750172,-0.5635463,-5.996315,-3.3989215,-0.13962083,2.2819004,-2.6005726,-1.2940655,-3.7933304,-3.4602377,3.4702675,1.6566536,-2.1464682,0.10045321,6.1308656,2.4696448,1.5206337,3.8681467,1.230447,-2.5616553,1.8054186,-1.4060994,0.52499384,-4.221049,-0.12992586,0.1732708,-2.2550485,-0.7092253,3.0286744,-2.7449012,-0.84860516,2.3257873,-0.81494707,-1.5250278,-1.3197966,3.6833508,4.4402313,-0.97861856,0.35926113,2.1020672,-1.4120419,-2.8223128,5.18067,0.1793112,-0.5866133,3.7173896,-1.0350248,0.49771854,-0.46026516,1.6893554,1.369524,2.7785928,-2.4037907,-1.0812573,3.7253633
